City,Date,Rainfall_mm,Grid_Latitude,Grid_Longitude,Year,Month
Chennai,2015-12-02,329.34344482421875,13.25,80.25,2015,12
Chennai,2015-11-16,299.0087890625,13.25,80.25,2015,11
Mumbai,2020-08-06,273.41217041015625,19.0,72.75,2020,8
Mumbai,2017-09-20,241.8926239013672,19.0,72.75,2017,9
Mumbai,2019-07-02,232.29193115234375,19.0,72.75,2019,7
Mumbai,2020-08-04,229.41529846191406,19.0,72.75,2020,8
Mumbai,2015-06-19,221.85443115234375,19.0,72.75,2015,6
Mumbai,2021-07-18,199.4926300048828,19.0,72.75,2021,7
Chennai,2025-12-02,196.72750854492188,13.25,80.25,2025,12
Mumbai,2020-09-23,192.4361114501953,19.0,72.75,2020,9
Hyderabad,2020-10-14,190.1142120361328,17.5,78.5,2020,10
Mumbai,2022-07-01,182.32191467285156,19.0,72.75,2022,7
Chennai,2023-12-04,180.8209228515625,13.25,80.25,2023,12
Mumbai,2021-05-18,178.6724090576172,19.0,72.75,2021,5
Mumbai,2017-08-30,178.26246643066406,19.0,72.75,2017,8
Chennai,2021-11-11,164.80718994140625,13.25,80.25,2021,11
Chennai,2015-11-09,155.92324829101562,13.25,80.25,2015,11
Chennai,2024-10-16,155.0374298095703,13.25,80.25,2024,10
Nagpur,2025-07-09,148.2635955810547,21.25,79.0,2025,7
Nagpur,2018-07-07,144.51268005371094,21.25,79.0,2018,7
Chennai,2015-11-13,139.5066375732422,13.25,80.25,2015,11
Nashik,2019-08-05,139.4085235595703,20.0,73.75,2019,8
Nagpur,2015-08-14,138.81829833984375,21.25,79.0,2015,8
Nashik,2016-08-03,136.00775146484375,20.0,73.75,2016,8
Nagpur,2017-08-19,133.42678833007812,21.25,79.0,2017,8
Bengaluru,2017-08-15,132.9561004638672,13.0,77.5,2017,8
Nashik,2016-07-11,131.69593811035156,20.0,73.75,2016,7
Chennai,2022-11-02,130.2813262939453,13.25,80.25,2022,11
Pune,2024-09-26,129.69529724121094,18.5,73.75,2024,9
Nagpur,2018-08-21,128.39181518554688,21.25,79.0,2018,8
Chennai,2017-10-31,122.51545715332031,13.25,80.25,2017,10
Bengaluru,2022-09-05,119.02725982666016,13.0,77.5,2022,9
Pune,2020-10-15,116.42317199707031,18.5,73.75,2020,10
Pune,2024-06-09,114.00235748291016,18.5,73.75,2024,6
Pune,2024-07-25,113.94840240478516,18.5,73.75,2024,7
Nagpur,2023-07-27,113.13170623779297,21.25,79.0,2023,7
Hyderabad,2016-09-21,109.3637466430664,17.5,78.5,2016,9
Delhi,2023-07-09,109.24906158447266,28.75,77.0,2023,7
Nagpur,2024-07-21,106.08377838134766,21.25,79.0,2024,7
Delhi,2021-05-20,103.27812957763672,28.75,77.0,2021,5
Nashik,2020-06-04,101.64727020263672,20.0,73.75,2020,6
Nagpur,2017-07-18,98.89817810058594,21.25,79.0,2017,7
Pune,2015-05-14,95.97357940673828,18.5,73.75,2015,5
Pune,2025-09-19,95.22933959960938,18.5,73.75,2025,9
Nashik,2016-08-02,95.01892852783203,20.0,73.75,2016,8
Pune,2017-10-14,94.67606353759766,18.5,73.75,2017,10
Bengaluru,2022-05-18,94.53607177734375,13.0,77.5,2022,5
Pune,2022-10-18,92.63134002685547,18.5,73.75,2022,10
Pune,2015-11-23,92.34730529785156,18.5,73.75,2015,11
Nagpur,2025-07-08,90.0742416381836,21.25,79.0,2025,7
Delhi,2024-06-28,89.87548065185547,28.75,77.0,2024,6
Nashik,2022-07-12,89.74925994873047,20.0,73.75,2022,7
Bengaluru,2021-11-19,88.05328369140625,13.0,77.5,2021,11
Hyderabad,2017-10-03,87.47798919677734,17.5,78.5,2017,10
Nagpur,2020-08-29,86.447021484375,21.25,79.0,2020,8
Delhi,2021-08-21,86.44532775878906,28.75,77.0,2021,8
Hyderabad,2016-09-23,85.4268569946289,17.5,78.5,2016,9
Delhi,2020-08-20,85.25305938720703,28.75,77.0,2020,8
Delhi,2020-08-13,85.06099700927734,28.75,77.0,2020,8
Bengaluru,2025-05-19,83.8280258178711,13.0,77.5,2025,5
Bengaluru,2019-09-24,82.28191375732422,13.0,77.5,2019,9
Nashik,2015-09-19,81.78689575195312,20.0,73.75,2015,9
Delhi,2024-08-01,79.55976867675781,28.75,77.0,2024,8
Pune,2019-07-27,78.68441009521484,18.5,73.75,2019,7
Hyderabad,2017-08-26,78.16325378417969,17.5,78.5,2017,8
Delhi,2015-07-12,77.68002319335938,28.75,77.0,2015,7
Bengaluru,2023-09-01,77.14728546142578,13.0,77.5,2023,9
Bengaluru,2024-10-16,76.32189178466797,13.0,77.5,2024,10
Hyderabad,2021-07-15,75.91366577148438,17.5,78.5,2021,7
Bengaluru,2015-11-03,75.64988708496094,13.0,77.5,2015,11
Bengaluru,2022-08-30,75.23829650878906,13.0,77.5,2022,8
Delhi,2021-07-19,74.05803680419922,28.75,77.0,2021,7
Nashik,2022-09-01,73.49970245361328,20.0,73.75,2022,9
Nashik,2025-09-28,73.41305541992188,20.0,73.75,2025,9
Delhi,2022-10-09,72.36079406738281,28.75,77.0,2022,10
Nashik,2023-09-09,71.29352569580078,20.0,73.75,2023,9
Hyderabad,2021-09-28,70.34149932861328,17.5,78.5,2021,9
Hyderabad,2019-09-25,69.75251770019531,17.5,78.5,2019,9
Hyderabad,2022-07-23,65.76128387451172,17.5,78.5,2022,7
Hyderabad,2017-06-08,64.56413269042969,17.5,78.5,2017,6
