grid_id,Station,date,level_daily_mean_m,level_daily_max_m,n_obs
PUNE_G001,Dattawadi,2022-02-12,542.357,542.37,40
PUNE_G001,Dattawadi,2022-02-13,542.344,542.38,92
PUNE_G001,Dattawadi,2022-02-14,542.344,542.37,95
PUNE_G001,Dattawadi,2022-02-15,542.349,542.38,89
PUNE_G001,Dattawadi,2022-02-16,542.347,542.38,92
PUNE_G001,Dattawadi,2022-02-17,542.343,542.37,96
PUNE_G001,Dattawadi,2022-02-18,542.347,542.39,93
PUNE_G001,Dattawadi,2022-02-19,542.341,542.38,96
PUNE_G001,Dattawadi,2022-02-20,542.344,542.38,94
PUNE_G001,Dattawadi,2022-02-21,542.347,542.37,93
PUNE_G001,Dattawadi,2022-02-22,542.353,542.39,93
PUNE_G001,Dattawadi,2022-02-23,542.349,542.38,95
PUNE_G001,Dattawadi,2022-02-24,542.347,542.37,88
PUNE_G001,Dattawadi,2022-02-25,542.348,542.38,94
PUNE_G001,Dattawadi,2022-02-26,542.338,542.37,95
PUNE_G001,Dattawadi,2022-02-27,542.337,542.39,94
PUNE_G001,Dattawadi,2022-02-28,542.335,542.37,92
PUNE_G001,Dattawadi,2022-03-01,542.337,542.36,93
PUNE_G001,Dattawadi,2022-03-02,542.334,542.37,80
PUNE_G001,Dattawadi,2022-03-03,542.332,542.36,95
PUNE_G001,Dattawadi,2022-03-04,542.333,542.36,94
PUNE_G001,Dattawadi,2022-03-05,542.329,542.35,93
PUNE_G001,Dattawadi,2022-03-06,542.327,542.36,93
PUNE_G001,Dattawadi,2022-03-07,542.33,542.35,92
PUNE_G001,Dattawadi,2022-03-08,542.331,542.35,95
PUNE_G001,Dattawadi,2022-03-09,542.315,542.33,42
PUNE_G001,Dattawadi,2022-04-25,542.344,542.37,95
PUNE_G001,Dattawadi,2022-04-26,542.348,542.44,96
PUNE_G001,Dattawadi,2022-04-27,542.34,542.36,94
PUNE_G001,Dattawadi,2022-04-28,542.335,542.37,95
PUNE_G001,Dattawadi,2022-04-29,542.338,542.36,95
PUNE_G001,Dattawadi,2022-04-30,542.34,542.37,96
PUNE_G001,Dattawadi,2022-05-01,542.336,542.36,93
PUNE_G001,Dattawadi,2022-05-02,542.333,542.36,94
PUNE_G001,Dattawadi,2022-05-03,542.338,542.37,93
PUNE_G001,Dattawadi,2022-05-04,542.337,542.38,94
PUNE_G001,Dattawadi,2022-05-05,542.328,542.36,96
PUNE_G001,Dattawadi,2022-05-06,542.328,542.36,94
PUNE_G001,Dattawadi,2022-05-07,542.332,542.37,93
PUNE_G001,Dattawadi,2022-05-08,542.334,542.36,92
PUNE_G001,Dattawadi,2022-05-09,542.333,542.36,96
PUNE_G001,Dattawadi,2022-05-10,542.336,542.36,95
PUNE_G001,Dattawadi,2022-05-11,542.343,542.37,93
PUNE_G001,Dattawadi,2022-05-12,542.34,542.37,93
PUNE_G001,Dattawadi,2022-05-13,542.344,542.37,95
PUNE_G001,Dattawadi,2022-05-14,542.34,542.36,93
PUNE_G001,Dattawadi,2022-05-15,542.34,542.38,96
PUNE_G001,Dattawadi,2022-05-16,542.336,542.37,96
PUNE_G001,Dattawadi,2022-05-17,542.338,542.37,94
PUNE_G001,Dattawadi,2022-05-18,542.336,542.36,95
PUNE_G001,Dattawadi,2022-05-19,542.338,542.37,94
PUNE_G001,Dattawadi,2022-05-20,542.351,542.39,95
PUNE_G001,Dattawadi,2022-05-21,542.353,542.38,92
PUNE_G001,Dattawadi,2022-05-22,542.35,542.38,91
PUNE_G001,Dattawadi,2022-05-23,542.352,542.38,96
PUNE_G001,Dattawadi,2022-05-24,542.347,542.37,96
PUNE_G001,Dattawadi,2022-05-25,542.353,542.38,93
PUNE_G001,Dattawadi,2022-05-26,542.353,542.38,95
PUNE_G001,Dattawadi,2022-05-27,542.348,542.37,84
PUNE_G001,Dattawadi,2022-05-28,542.352,542.39,94
PUNE_G001,Dattawadi,2022-05-29,542.351,542.38,96
PUNE_G001,Dattawadi,2022-05-30,542.351,542.38,69
PUNE_G001,Dattawadi,2022-05-31,542.354,542.38,70
PUNE_G001,Dattawadi,2022-06-01,542.358,542.4,81
PUNE_G001,Dattawadi,2022-06-02,542.344,542.37,91
PUNE_G001,Dattawadi,2022-06-03,542.348,542.38,91
PUNE_G001,Dattawadi,2022-06-04,542.354,542.39,87
PUNE_G001,Dattawadi,2022-06-05,542.353,542.39,94
PUNE_G001,Dattawadi,2022-06-06,542.35,542.37,94
PUNE_G001,Dattawadi,2022-06-07,542.357,542.39,96
PUNE_G001,Dattawadi,2022-06-08,542.35,542.39,94
PUNE_G001,Dattawadi,2022-06-09,542.361,542.4,91
PUNE_G001,Dattawadi,2022-06-10,542.373,542.48,96
PUNE_G001,Dattawadi,2022-06-11,542.346,542.38,96
PUNE_G001,Dattawadi,2022-06-12,542.347,542.38,58
PUNE_G001,Dattawadi,2022-06-13,542.331,542.34,29
PUNE_G001,Dattawadi,2022-06-14,542.364,542.38,40
PUNE_G001,Dattawadi,2022-06-15,542.356,542.38,34
PUNE_G001,Dattawadi,2022-06-16,542.349,542.39,52
PUNE_G001,Dattawadi,2022-06-17,542.357,542.38,24
PUNE_G001,Dattawadi,2022-06-18,542.345,542.37,93
PUNE_G001,Dattawadi,2022-06-19,542.345,542.36,95
PUNE_G001,Dattawadi,2022-06-20,542.348,542.38,95
PUNE_G001,Dattawadi,2022-06-21,542.337,542.36,94
PUNE_G001,Dattawadi,2022-06-22,542.336,542.36,95
PUNE_G001,Dattawadi,2022-06-23,542.35,542.37,94
PUNE_G001,Dattawadi,2022-06-24,542.342,542.36,88
PUNE_G001,Dattawadi,2022-06-25,542.332,542.36,94
PUNE_G001,Dattawadi,2022-06-26,542.333,542.36,95
PUNE_G001,Dattawadi,2022-06-27,542.335,542.37,93
PUNE_G001,Dattawadi,2022-06-28,542.331,542.37,96
PUNE_G001,Dattawadi,2022-06-29,542.331,542.39,94
PUNE_G001,Dattawadi,2022-06-30,542.346,542.42,96
PUNE_G001,Dattawadi,2022-07-01,542.385,542.44,95
PUNE_G001,Dattawadi,2022-07-02,542.355,542.39,95
PUNE_G001,Dattawadi,2022-07-03,542.35,542.38,95
PUNE_G001,Dattawadi,2022-07-04,542.369,542.52,94
PUNE_G001,Dattawadi,2022-07-05,542.38,542.48,93
PUNE_G001,Dattawadi,2022-07-06,542.416,542.48,96
PUNE_G001,Dattawadi,2022-07-07,542.416,542.48,96
PUNE_G001,Dattawadi,2022-07-08,542.385,542.42,95
PUNE_G001,Dattawadi,2022-07-09,542.383,542.42,15
PUNE_G001,Dattawadi,2022-07-11,542.752,542.9,21
PUNE_G001,Dattawadi,2022-07-12,543.76,544.91,96
PUNE_G001,Dattawadi,2022-07-13,544.623,544.87,96
PUNE_G001,Dattawadi,2022-07-14,543.821,544.83,90
PUNE_G001,Dattawadi,2022-07-15,543.73,543.93,94
PUNE_G001,Dattawadi,2022-07-16,543.678,543.76,72
PUNE_G001,Dattawadi,2022-07-18,543.188,543.21,45
PUNE_G001,Dattawadi,2022-07-19,542.745,543.19,95
PUNE_G001,Dattawadi,2022-07-20,542.508,542.55,95
PUNE_G001,Dattawadi,2022-07-21,542.476,542.51,96
PUNE_G001,Dattawadi,2022-07-22,542.462,542.51,94
PUNE_G001,Dattawadi,2022-07-23,542.45,542.48,96
PUNE_G001,Dattawadi,2022-07-24,542.453,542.49,94
PUNE_G001,Dattawadi,2022-07-25,542.436,542.47,94
PUNE_G001,Dattawadi,2022-07-26,542.428,542.47,90
PUNE_G001,Dattawadi,2022-07-27,542.484,542.64,59
PUNE_G001,Dattawadi,2022-07-28,542.473,542.55,51
PUNE_G001,Dattawadi,2022-07-29,542.455,542.47,17
PUNE_G001,Dattawadi,2022-08-01,542.417,542.45,52
PUNE_G001,Dattawadi,2022-08-02,542.396,542.44,83
PUNE_G001,Dattawadi,2022-08-03,542.404,542.45,90
PUNE_G001,Dattawadi,2022-08-04,542.394,542.44,79
PUNE_G001,Dattawadi,2022-08-05,542.411,542.47,70
PUNE_G001,Dattawadi,2022-08-06,542.394,542.42,76
PUNE_G001,Dattawadi,2022-08-07,542.396,542.46,90
PUNE_G001,Dattawadi,2022-08-08,542.397,542.44,76
PUNE_G001,Dattawadi,2022-08-09,542.411,542.43,28
PUNE_G001,Dattawadi,2022-08-12,544.572,544.65,47
PUNE_G001,Dattawadi,2022-08-13,544.61,545.1,86
PUNE_G001,Dattawadi,2022-08-14,544.476,545.09,91
PUNE_G001,Dattawadi,2022-08-15,543.88,545.11,95
PUNE_G001,Dattawadi,2022-08-16,544.389,545.19,79
PUNE_G001,Dattawadi,2022-08-17,544.071,544.25,82
PUNE_G001,Dattawadi,2022-08-18,544.161,544.19,42
PUNE_G001,Dattawadi,2022-08-19,543.601,543.77,9
PUNE_G001,Dattawadi,2022-08-20,544.145,544.71,65
