Date,Rainfall_mm
2015-01-01,0.0
2015-01-02,0.0
2015-01-03,0.0
2015-01-04,0.0
2015-01-05,0.0
2015-01-06,0.0
2015-01-07,0.0
2015-01-08,0.0
2015-01-09,0.0
2015-01-10,0.0
2015-01-11,0.0
2015-01-12,0.0
2015-01-13,0.0
2015-01-14,0.0
2015-01-15,0.0
2015-01-16,0.0
2015-01-17,0.0
2015-01-18,0.0
2015-01-19,0.0
2015-01-20,0.0
2015-01-21,0.0
2015-01-22,0.0
2015-01-23,0.0
2015-01-24,0.0
2015-01-25,0.0
2015-01-26,0.0
2015-01-27,0.0
2015-01-28,0.0
2015-01-29,0.0
2015-01-30,0.0
2015-01-31,0.0
2015-02-01,0.0
2015-02-02,0.0
2015-02-03,0.0
2015-02-04,0.0
2015-02-05,0.0
2015-02-06,0.0
2015-02-07,0.0
2015-02-08,0.0
2015-02-09,0.0
2015-02-10,0.0
2015-02-11,0.0
2015-02-12,0.0
2015-02-13,0.0
2015-02-14,0.0
2015-02-15,0.0
2015-02-16,0.0
2015-02-17,0.0
2015-02-18,0.0
2015-02-19,0.0
2015-02-20,0.0
2015-02-21,0.0
2015-02-22,0.0
2015-02-23,0.0
2015-02-24,0.0
2015-02-25,0.0
2015-02-26,0.0
2015-02-27,0.0
2015-02-28,0.0
2015-03-01,43.341778
2015-03-02,10.932629
2015-03-03,0.0
2015-03-04,0.0
2015-03-05,0.0
2015-03-06,0.0
2015-03-07,0.0
2015-03-08,0.0
2015-03-09,0.0
2015-03-10,0.0
2015-03-11,0.88758236
2015-03-12,0.0
2015-03-13,0.0
2015-03-14,0.0
2015-03-15,0.0
2015-03-16,0.0
2015-03-17,0.0
2015-03-18,0.0
2015-03-19,0.0
2015-03-20,0.0
2015-03-21,0.0
2015-03-22,0.0
2015-03-23,0.0
2015-03-24,0.0
2015-03-25,0.0
2015-03-26,0.0
2015-03-27,0.0
2015-03-28,0.0
2015-03-29,0.856761
2015-03-30,3.4218507
2015-03-31,0.0
2015-04-01,0.0
2015-04-02,0.0
2015-04-03,0.0
2015-04-04,0.0
2015-04-05,0.0
2015-04-06,0.0
2015-04-07,0.0
2015-04-08,0.0
2015-04-09,0.0
2015-04-10,0.0
2015-04-11,0.0
2015-04-12,0.0
2015-04-13,0.0
2015-04-14,0.0
2015-04-15,0.0
2015-04-16,0.0
2015-04-17,0.0
2015-04-18,0.0
2015-04-19,0.0
2015-04-20,0.0
2015-04-21,0.0
2015-04-22,0.1925502
2015-04-23,0.0
2015-04-24,0.0
2015-04-25,0.0
2015-04-26,0.0
2015-04-27,0.0
2015-04-28,0.0
2015-04-29,0.0
2015-04-30,0.0
2015-05-01,0.0
2015-05-02,0.0
2015-05-03,0.0
2015-05-04,0.0
2015-05-05,0.0
2015-05-06,4.076028
2015-05-07,0.0
2015-05-08,0.0
2015-05-09,0.0
2015-05-10,0.11289849
2015-05-11,0.0
2015-05-12,0.0
2015-05-13,0.35899904
2015-05-14,95.97358
2015-05-15,0.0
2015-05-16,2.961742
2015-05-17,0.0
2015-05-18,0.0
2015-05-19,0.0
2015-05-20,0.0
2015-05-21,0.0
2015-05-22,0.0
2015-05-23,0.0
2015-05-24,0.0
2015-05-25,0.0
2015-05-26,0.0
2015-05-27,0.0
2015-05-28,0.0
2015-05-29,0.0
2015-05-30,1.2356555
2015-05-31,0.0
2015-06-01,0.0
2015-06-02,0.0
2015-06-03,0.0
2015-06-04,0.0
2015-06-05,10.983393
2015-06-06,3.1369607
2015-06-07,0.0
2015-06-08,19.183975
2015-06-09,56.542347
2015-06-10,10.410973
2015-06-11,0.0
2015-06-12,30.745216
2015-06-13,0.19227149
2015-06-14,0.0
2015-06-15,0.3054487
2015-06-16,2.4486294
2015-06-17,0.0
2015-06-18,0.0
2015-06-19,2.7122052
2015-06-20,4.3147383
2015-06-21,3.7736607
2015-06-22,59.349644
2015-06-23,7.7675476
2015-06-24,43.597145
2015-06-25,4.2611256
2015-06-26,0.0
2015-06-27,0.0
2015-06-28,0.0
2015-06-29,0.35899904
2015-06-30,1.358092
2015-07-01,0.0
2015-07-02,0.0
2015-07-03,0.0
2015-07-04,0.0
2015-07-05,0.0
2015-07-06,0.0
2015-07-07,0.0
2015-07-08,0.0
2015-07-09,1.9182384
2015-07-10,1.0234468
2015-07-11,1.0131084
2015-07-12,0.0
2015-07-13,0.0
2015-07-14,0.0
2015-07-15,0.0
2015-07-16,2.7155988
2015-07-17,1.1927487
2015-07-18,0.6263711
2015-07-19,3.1839774
2015-07-20,3.422865
2015-07-21,9.0531225
2015-07-22,14.9125185
2015-07-23,2.139971
2015-07-24,0.6485662
2015-07-25,3.3776693
2015-07-26,1.5336267
2015-07-27,0.9108678
2015-07-28,8.626864
2015-07-29,2.5814106
2015-07-30,6.4150896
2015-07-31,1.555464
2015-08-01,0.7933782
2015-08-02,0.43769875
2015-08-03,0.13464291
2015-08-04,0.0
2015-08-05,2.430188
2015-08-06,1.8435544
2015-08-07,0.69460666
2015-08-08,0.99105406
2015-08-09,0.2335492
2015-08-10,0.18951213
2015-08-11,0.0
2015-08-12,2.5168443
2015-08-13,0.222362
2015-08-14,2.797379
2015-08-15,0.3085295
2015-08-16,0.0
2015-08-17,0.693785
2015-08-18,0.0
2015-08-19,0.0
2015-08-20,0.0
2015-08-21,0.0
2015-08-22,0.0
2015-08-23,0.3072106
2015-08-24,0.33986744
2015-08-25,0.0
2015-08-26,2.1134093
2015-08-27,0.0
2015-08-28,1.6803316
2015-08-29,5.1607943
2015-08-30,0.0
2015-08-31,0.55390257
2015-09-01,0.23187318
2015-09-02,0.0
2015-09-03,0.0
2015-09-04,0.0
2015-09-05,0.0
2015-09-06,0.0
2015-09-07,0.0
2015-09-08,0.0
2015-09-09,19.978931
2015-09-10,16.106594
2015-09-11,8.301406
2015-09-12,0.0
2015-09-13,14.429825
2015-09-14,2.117521
2015-09-15,0.5961925
2015-09-16,21.966644
2015-09-17,1.086591
2015-09-18,8.998993
2015-09-19,39.588737
2015-09-20,4.0456443
2015-09-21,0.0
2015-09-22,0.0
2015-09-23,0.0
2015-09-24,0.0
2015-09-25,0.0
2015-09-26,0.0
2015-09-27,0.0
2015-09-28,0.0
2015-09-29,0.0
2015-09-30,0.0
2015-10-01,0.0
2015-10-02,2.4169388
2015-10-03,23.192036
2015-10-04,10.316387
2015-10-05,2.6632488
2015-10-06,0.0
2015-10-07,0.0
2015-10-08,0.0
2015-10-09,0.0
2015-10-10,0.0
2015-10-11,8.615977
2015-10-12,29.337448
2015-10-13,0.0
2015-10-14,0.0
2015-10-15,0.0
2015-10-16,0.0
2015-10-17,0.0
2015-10-18,0.0
2015-10-19,0.0
2015-10-20,0.0
2015-10-21,0.0
2015-10-22,0.0
2015-10-23,0.0
2015-10-24,0.0
2015-10-25,0.0
2015-10-26,0.0
