City,Year,Annual_Rainfall_mm,Average_Daily_Rainfall_mm,Maximum_Daily_Rainfall_mm,Rainy_Days,Dry_Days
Bengaluru,2015,1183.72,3.2431,75.65,143,222
Bengaluru,2016,817.93,2.2348,68.94,108,258
Bengaluru,2017,1426.14,3.9072,132.96,121,244
Bengaluru,2018,838.34,2.2968,40.81,123,242
Bengaluru,2019,1013.84,2.7777,82.28,131,234
Bengaluru,2020,1126.35,3.0775,68.05,125,241
Bengaluru,2021,1396.05,3.8248,88.05,171,194
Bengaluru,2022,1945.55,5.3303,119.03,158,207
Bengaluru,2023,893.36,2.4475,77.15,137,228
Bengaluru,2024,989.97,2.7048,76.32,116,250
Bengaluru,2025,966.35,2.6475,83.83,147,218
Chennai,2015,2311.1,6.3318,329.34,124,241
Chennai,2016,991.03,2.7077,113.48,83,283
Chennai,2017,1571.59,4.3057,122.52,103,262
Chennai,2018,873.87,2.3942,102.84,85,280
Chennai,2019,1183.24,3.2417,91.57,107,258
Chennai,2020,1310.85,3.5816,115.49,103,263
Chennai,2021,2148.93,5.8875,164.81,128,237
Chennai,2022,1572.42,4.308,130.28,125,240
Chennai,2023,1568.56,4.2974,180.82,136,229
Chennai,2024,1773.94,4.8468,155.04,125,241
Chennai,2025,1754.04,4.8056,196.73,122,243
Delhi,2015,808.77,2.2158,77.68,87,278
Delhi,2016,593.94,1.6228,44.47,72,294
Delhi,2017,566.18,1.5512,53.62,78,287
Delhi,2018,722.8,1.9803,65.91,74,291
Delhi,2019,598.41,1.6395,52.01,91,274
Delhi,2020,695.77,1.901,85.25,89,277
Delhi,2021,1217.67,3.3361,103.28,89,276
Delhi,2022,804.32,2.2036,72.36,80,285
Delhi,2023,782.48,2.1438,109.25,89,276
Delhi,2024,834.9,2.2812,89.88,90,276
Delhi,2025,907.19,2.4854,59.04,94,271
Hyderabad,2015,615.06,1.6851,34.13,91,274
Hyderabad,2016,1053.21,2.8776,109.36,95,271
Hyderabad,2017,1038.51,2.8452,87.48,105,260
Hyderabad,2018,580.79,1.5912,52.2,92,273
Hyderabad,2019,873.62,2.3935,69.75,115,250
Hyderabad,2020,1232.34,3.3671,190.11,119,247
Hyderabad,2021,1008.83,2.7639,75.91,106,259
Hyderabad,2022,1046.21,2.8663,65.76,109,256
Hyderabad,2023,893.25,2.4472,62.75,108,257
Hyderabad,2024,858.9,2.3467,63.58,114,252
Hyderabad,2025,1103.54,3.0234,54.5,115,250
Mumbai,2015,1756.81,4.8132,221.85,118,247
Mumbai,2016,2774.9,7.5817,140.66,118,248
Mumbai,2017,2807.1,7.6907,241.89,122,243
Mumbai,2018,2087.34,5.7187,172.92,110,255
Mumbai,2019,3333.06,9.1317,232.29,131,234
Mumbai,2020,3563.26,9.7357,273.41,132,234
Mumbai,2021,3072.15,8.4169,199.49,144,221
Mumbai,2022,2552.51,6.9932,182.32,126,239
Mumbai,2023,2740.49,7.5082,175.16,125,240
Mumbai,2024,2968.52,8.1107,165.25,125,241
Mumbai,2025,3182.75,8.7199,159.64,158,207
Nagpur,2015,1166.54,3.196,138.82,86,279
Nagpur,2016,896.13,2.4484,72.87,92,274
Nagpur,2017,825.24,2.2609,133.43,93,272
Nagpur,2018,1205.44,3.3026,144.51,82,283
Nagpur,2019,1211.33,3.3187,78.49,101,264
Nagpur,2020,1294.0,3.5355,86.45,137,229
Nagpur,2021,1227.77,3.3638,79.97,125,240
Nagpur,2022,1597.96,4.378,84.49,118,247
Nagpur,2023,1255.8,3.4406,113.13,139,226
Nagpur,2024,1340.07,3.6614,106.08,156,210
Nagpur,2025,1321.64,3.6209,148.26,134,231
Nashik,2015,601.01,1.6466,81.79,79,286
Nashik,2016,986.39,2.695,136.01,92,274
Nashik,2017,972.91,2.6655,51.65,106,259
Nashik,2018,509.76,1.3966,40.62,88,277
Nashik,2019,1264.11,3.4633,139.41,108,257
Nashik,2020,965.86,2.6389,101.65,118,248
Nashik,2021,871.41,2.3874,61.76,131,234
Nashik,2022,1332.1,3.6496,89.75,104,261
Nashik,2023,562.11,1.54,71.29,107,258
Nashik,2024,965.55,2.6381,58.23,121,245
Nashik,2025,1228.24,3.365,73.41,139,226
Pune,2015,838.14,2.2963,95.97,90,275
Pune,2016,697.14,1.9047,74.56,91,275
Pune,2017,907.85,2.4873,94.68,103,262
Pune,2018,538.86,1.4763,63.4,99,266
Pune,2019,1483.07,4.0632,78.68,119,246
Pune,2020,1152.12,3.1479,116.42,120,246
Pune,2021,877.15,2.4032,76.41,138,227
Pune,2022,1074.77,2.9446,92.63,106,259
Pune,2023,582.38,1.5956,38.24,127,238
Pune,2024,1300.38,3.553,129.7,125,241
Pune,2025,1217.95,3.3368,95.23,125,240
