report_id,grid_id,report_type,description,timestamp,status
CR-095811A7FEA2,PUNE_G003,BLOCKED_DRAIN,integration test drain blockage,2026-08-22T07:51:19.691775+00:00,SUBMITTED
CR-38A803DCC109,PUNE_G003,BLOCKED_DRAIN,integration test drain blockage,2026-08-22T07:52:26.332300+00:00,SUBMITTED
CR-E33100E88BE7,PUNE_G003,BLOCKED_DRAIN,integration test drain blockage,2026-08-22T11:46:07.456035+00:00,SUBMITTED
CR-DE64CB84E5F2,PUNE_G003,BLOCKED_DRAIN,integration test drain blockage,2026-08-22T13:19:26.394943+00:00,SUBMITTED
CR-C26A42C5E076,PUNE_G003,BLOCKED_DRAIN,integration test drain blockage,2026-08-22T15:05:56.119913+00:00,SUBMITTED
CR-16BC9D709F81,PUNE_G003,BLOCKED_DRAIN,integration test drain blockage,2026-08-22T15:06:41.662401+00:00,SUBMITTED
CR-2F9C5986A176,PUNE_G002,OTHER,final sweep check,2026-08-22T15:10:03.072951+00:00,SUBMITTED
CR-4DCFC93DB0EF,PUNE_G003,BLOCKED_DRAIN,integration test drain blockage,2026-08-22T16:06:40.882160+00:00,SUBMITTED
CR-3242DE8A4783,PUNE_G003,BLOCKED_DRAIN,integration test drain blockage,2026-08-22T16:07:19.216435+00:00,SUBMITTED
CR-8D3ED2DE365E,PUNE_G003,BLOCKED_DRAIN,integration test drain blockage,2026-08-22T17:03:22.030403+00:00,SUBMITTED
CR-3A093D69A10E,PUNE_G003,BLOCKED_DRAIN,integration test drain blockage,2026-08-22T17:04:25.154323+00:00,SUBMITTED
CR-7F56867EDDE8,PUNE_G003,BLOCKED_DRAIN,integration test drain blockage,2026-08-22T17:37:16.231855+00:00,SUBMITTED
CR-F6D94A021222,PUNE_G003,BLOCKED_DRAIN,integration test drain blockage,2026-08-22T17:37:51.921949+00:00,SUBMITTED
CR-0AA7DA0FF721,PUNE_G003,BLOCKED_DRAIN,integration test drain blockage,2026-08-22T17:49:44.935193+00:00,SUBMITTED
CR-953E713BC6F8,PUNE_G003,BLOCKED_DRAIN,integration test drain blockage,2026-08-22T17:50:20.538964+00:00,SUBMITTED
CR-4A6841D27E55,PUNE_G003,BLOCKED_DRAIN,integration test drain blockage,2026-08-22T18:00:19.532066+00:00,SUBMITTED
CR-443BF09C2013,PUNE_G003,BLOCKED_DRAIN,integration test drain blockage,2026-08-22T18:00:55.297732+00:00,SUBMITTED
CR-864C05D30C42,PUNE_G003,BLOCKED_DRAIN,integration test drain blockage,2026-08-22T18:53:40.187417+00:00,SUBMITTED
CR-48DB201E79BC,PUNE_G003,BLOCKED_DRAIN,integration test drain blockage,2026-08-22T18:54:48.255775+00:00,SUBMITTED
CR-C860A2C7EBCE,PUNE_G003,BLOCKED_DRAIN,integration test drain blockage,2026-08-22T19:46:14.875235+00:00,SUBMITTED
CR-6113E3D28B44,PUNE_G003,BLOCKED_DRAIN,integration test drain blockage,2026-08-22T19:46:48.961497+00:00,SUBMITTED
CR-D53BE7D89B46,PUNE_G003,BLOCKED_DRAIN,integration test drain blockage,2026-08-22T21:28:57.100807+00:00,SUBMITTED
CR-326A95C39AA9,PUNE_G003,BLOCKED_DRAIN,integration test drain blockage,2026-08-22T21:30:00.411244+00:00,SUBMITTED
CR-72187DCA4483,PUNE_G003,BLOCKED_DRAIN,integration test drain blockage,2026-08-22T21:47:56.524989+00:00,SUBMITTED
CR-7DE102150EA3,PUNE_G003,BLOCKED_DRAIN,integration test drain blockage,2026-08-22T21:48:29.416668+00:00,SUBMITTED
CR-DAB5338D6594,PUNE_G003,BLOCKED_DRAIN,integration test drain blockage,2026-08-22T21:49:11.667909+00:00,SUBMITTED
CR-BEE1549B9DA0,PUNE_G003,BLOCKED_DRAIN,integration test drain blockage,2026-08-22T21:50:19.810465+00:00,SUBMITTED
CR-418A3AF983BE,PUNE_G003,BLOCKED_DRAIN,integration test drain blockage,2026-08-22T22:03:06.124677+00:00,SUBMITTED
CR-6A4CE4219DB0,PUNE_G003,BLOCKED_DRAIN,integration test drain blockage,2026-08-22T22:14:24.135638+00:00,SUBMITTED
CR-807F21930192,PUNE_G003,BLOCKED_DRAIN,integration test drain blockage,2026-08-22T22:34:13.503161+00:00,SUBMITTED
CR-A8B89EA59857,PUNE_G003,BLOCKED_DRAIN,integration test drain blockage,2026-08-22T22:35:17.298665+00:00,SUBMITTED
CR-99BEEDE311E7,PUNE_G003,BLOCKED_DRAIN,integration test drain blockage,2026-08-22T22:42:13.169585+00:00,SUBMITTED
CR-1B48A5877A80,PUNE_G003,BLOCKED_DRAIN,integration test drain blockage,2026-08-22T22:53:27.907226+00:00,SUBMITTED
CR-F8E97F845F9A,PUNE_G003,BLOCKED_DRAIN,integration test drain blockage,2026-08-22T23:05:08.877241+00:00,SUBMITTED
CR-93581095310E,PUNE_G003,BLOCKED_DRAIN,integration test drain blockage,2026-08-22T23:20:38.637160+00:00,SUBMITTED
CR-861F5C202DAA,PUNE_G003,BLOCKED_DRAIN,integration test drain blockage,2026-08-22T23:21:55.639253+00:00,SUBMITTED
CR-DFE64B13A552,PUNE_G003,BLOCKED_DRAIN,integration test drain blockage,2026-08-22T23:23:37.910507+00:00,SUBMITTED
CR-B22D4FA1B324,PUNE_G003,BLOCKED_DRAIN,integration test drain blockage,2026-08-22T23:42:17.216839+00:00,SUBMITTED
CR-AAFA939B38DF,PUNE_G003,BLOCKED_DRAIN,integration test drain blockage,2026-08-22T23:50:15.178741+00:00,SUBMITTED
CR-F8987CB1C516,PUNE_G003,BLOCKED_DRAIN,integration test drain blockage,2026-08-23T00:12:23.745782+00:00,SUBMITTED
CR-002A7B806FB8,PUNE_G003,BLOCKED_DRAIN,integration test drain blockage,2026-08-23T00:13:26.139020+00:00,SUBMITTED
CR-261034556A57,PUNE_G003,BLOCKED_DRAIN,integration test drain blockage,2026-08-23T00:25:57.293995+00:00,SUBMITTED
CR-4FBBE8086FED,PUNE_G003,BLOCKED_DRAIN,integration test drain blockage,2026-08-23T00:29:31.637221+00:00,SUBMITTED
CR-3BFBFE54F58D,PUNE_G003,BLOCKED_DRAIN,integration test drain blockage,2026-08-23T00:32:24.073366+00:00,SUBMITTED
CR-2D83D4D0D02B,PUNE_G003,BLOCKED_DRAIN,integration test drain blockage,2026-08-23T00:37:50.452710+00:00,SUBMITTED
CR-8E491ADE1C68,PUNE_G003,BLOCKED_DRAIN,integration test drain blockage,2026-08-23T00:52:41.906214+00:00,SUBMITTED
CR-05956A3BE49D,PUNE_G003,BLOCKED_DRAIN,integration test drain blockage,2026-08-23T00:59:02.127358+00:00,SUBMITTED
CR-6A74E3A558E4,PUNE_G003,BLOCKED_DRAIN,integration test drain blockage,2026-08-23T01:01:09.681051+00:00,SUBMITTED
CR-B3797FE4009C,PUNE_G003,BLOCKED_DRAIN,integration test drain blockage,2026-08-23T01:08:28.895701+00:00,SUBMITTED
CR-76046236A35C,PUNE_G003,BLOCKED_DRAIN,integration test drain blockage,2026-08-23T01:14:12.749211+00:00,SUBMITTED
CR-22719866D524,PUNE_G003,BLOCKED_DRAIN,integration test drain blockage,2026-08-23T01:17:40.162181+00:00,SUBMITTED
CR-A2D259FEF44B,PUNE_G003,BLOCKED_DRAIN,integration test drain blockage,2026-08-23T01:20:31.713610+00:00,SUBMITTED
CR-E47265260A3F,PUNE_G003,BLOCKED_DRAIN,integration test drain blockage,2026-08-23T01:31:51.897248+00:00,SUBMITTED
CR-75183F63BE9B,PUNE_G003,BLOCKED_DRAIN,integration test drain blockage,2026-08-23T01:33:51.483883+00:00,SUBMITTED
