date,grid_id,risk_score,risk_level,trend,anomaly,temporal_rainfall,vulnerability
2026-08-01,PUNE_G001,32.2,LOW,STABLE,32.1,21.8,44.69
2026-08-01,PUNE_G002,27.7,LOW,STABLE,25.5,19.7,41.07
2026-08-01,PUNE_G003,48.9,MODERATE,STABLE,42.5,32.1,80.62
2026-08-01,PUNE_G004,37.1,LOW,STABLE,36.8,23.7,53.83
2026-08-02,PUNE_G001,32.0,LOW,STABLE,31.1,22.8,44.69
2026-08-02,PUNE_G002,28.9,LOW,STABLE,26.1,22.8,41.07
2026-08-02,PUNE_G003,45.7,MODERATE,STABLE,37.1,29.5,80.62
2026-08-02,PUNE_G004,38.1,LOW,STABLE,35.7,28.5,53.83
2026-08-03,PUNE_G001,33.4,LOW,STABLE,30.4,28.4,44.69
2026-08-03,PUNE_G002,31.1,LOW,STABLE,33.1,19.8,41.07
2026-08-03,PUNE_G003,50.0,MODERATE,STABLE,46.5,34.8,80.62
2026-08-03,PUNE_G004,36.7,LOW,STABLE,34.0,26.5,53.83
2026-08-04,PUNE_G001,36.9,LOW,STABLE,39.0,27.4,44.69
2026-08-04,PUNE_G002,28.9,LOW,STABLE,27.1,21.4,41.07
2026-08-04,PUNE_G003,50.0,MODERATE,STABLE,48.6,35.3,80.62
2026-08-04,PUNE_G004,41.1,MODERATE,STABLE,40.0,32.2,53.83
2026-08-05,PUNE_G001,37.5,LOW,STABLE,36.1,33.5,44.69
2026-08-05,PUNE_G002,32.0,LOW,STABLE,31.1,25.9,41.07
2026-08-05,PUNE_G003,50.0,MODERATE,STABLE,50,36.6,80.62
2026-08-05,PUNE_G004,41.9,MODERATE,STABLE,41.9,32.1,53.83
2026-08-06,PUNE_G001,36.9,LOW,STABLE,39.0,27.2,44.69
2026-08-06,PUNE_G002,31.5,LOW,STABLE,30.7,24.7,41.07
2026-08-06,PUNE_G003,50.0,MODERATE,STABLE,44.2,34.8,80.62
2026-08-06,PUNE_G004,38.7,LOW,STABLE,35.6,30.8,53.83
2026-08-07,PUNE_G001,38.2,LOW,STABLE,39.6,30.8,44.69
2026-08-07,PUNE_G002,32.8,LOW,STABLE,33.3,25.0,41.07
2026-08-07,PUNE_G003,50.0,MODERATE,STABLE,47.7,41.7,80.62
2026-08-07,PUNE_G004,42.9,MODERATE,STABLE,42.4,34.5,53.83
2026-08-08,PUNE_G001,37.9,LOW,STABLE,36.2,34.7,44.69
2026-08-08,PUNE_G002,33.0,LOW,STABLE,32.4,27.2,41.07
