City,Year,Month,Total_Rainfall_mm,Average_Daily_Rainfall_mm,Maximum_Daily_Rainfall_mm,Rainy_Days
Bengaluru,2015,1,23.37,0.7538,21.23,2
Bengaluru,2015,2,0.0,0.0,0.0,0
Bengaluru,2015,3,36.49,1.1772,21.38,5
Bengaluru,2015,4,189.33,6.311,46.84,15
Bengaluru,2015,5,123.09,3.9706,44.33,15
Bengaluru,2015,6,84.18,2.8059,28.05,21
Bengaluru,2015,7,72.98,2.3541,25.88,15
Bengaluru,2015,8,102.6,3.3098,21.29,17
Bengaluru,2015,9,179.5,5.9834,56.2,17
Bengaluru,2015,10,107.74,3.4755,39.14,12
Bengaluru,2015,11,260.31,8.6771,75.65,19
Bengaluru,2015,12,4.13,0.1331,1.72,5
Bengaluru,2016,1,4.85,0.1566,4.5,3
Bengaluru,2016,2,0.0,0.0,0.0,0
Bengaluru,2016,3,48.18,1.5541,44.97,3
Bengaluru,2016,4,6.71,0.2237,5.18,3
Bengaluru,2016,5,138.63,4.472,39.01,13
Bengaluru,2016,6,226.66,7.5553,68.94,26
Bengaluru,2016,7,178.56,5.7601,61.46,20
Bengaluru,2016,8,67.19,2.1673,29.13,16
Bengaluru,2016,9,52.56,1.7519,10.39,15
Bengaluru,2016,10,16.48,0.5315,9.7,3
Bengaluru,2016,11,0.87,0.0291,0.87,1
Bengaluru,2016,12,77.24,2.4916,65.4,5
Bengaluru,2017,1,0.27,0.0088,0.27,1
Bengaluru,2017,2,0.0,0.0,0.0,0
Bengaluru,2017,3,34.38,1.1091,30.84,3
Bengaluru,2017,4,30.15,1.0049,13.05,10
Bengaluru,2017,5,186.64,6.0206,48.87,18
Bengaluru,2017,6,31.98,1.0659,17.96,11
Bengaluru,2017,7,46.8,1.5098,9.02,15
Bengaluru,2017,8,334.06,10.7763,132.96,21
Bengaluru,2017,9,460.44,15.3481,63.0,20
Bengaluru,2017,10,272.43,8.7882,39.93,16
Bengaluru,2017,11,12.76,0.4255,6.39,4
Bengaluru,2017,12,16.21,0.523,9.29,2
Bengaluru,2018,1,0.0,0.0,0.0,0
Bengaluru,2018,2,3.29,0.1175,2.31,2
Bengaluru,2018,3,30.89,0.9965,22.74,3
Bengaluru,2018,4,32.69,1.0895,15.14,9
Bengaluru,2018,5,237.63,7.6656,31.9,18
Bengaluru,2018,6,86.63,2.8878,17.06,17
Bengaluru,2018,7,67.34,2.1723,24.56,18
Bengaluru,2018,8,128.18,4.1347,25.55,24
Bengaluru,2018,9,151.94,5.0647,40.81,12
Bengaluru,2018,10,68.35,2.2048,22.37,11
Bengaluru,2018,11,23.48,0.7826,19.78,7
Bengaluru,2018,12,7.92,0.2554,4.88,2
Bengaluru,2019,1,0.79,0.0255,0.64,2
Bengaluru,2019,2,52.2,1.8644,51.43,2
Bengaluru,2019,3,0.0,0.0,0.0,0
Bengaluru,2019,4,37.46,1.2486,17.98,5
Bengaluru,2019,5,136.02,4.3878,22.43,15
Bengaluru,2019,6,74.78,2.4927,24.73,11
Bengaluru,2019,7,62.15,2.005,17.13,19
Bengaluru,2019,8,131.57,4.2443,30.98,21
Bengaluru,2019,9,180.85,6.0282,82.28,18
Bengaluru,2019,10,281.75,9.0887,41.74,22
Bengaluru,2019,11,44.3,1.4766,17.98,9
Bengaluru,2019,12,11.97,0.3861,5.53,7
